Surname,Firstname,Gender,Coach Email
Jones,Robert,M,robert.jones@lphs.school.nz
Jones,Matthew,M,matthew.jones@lphs.school.nz
Wilson,Charles,M,charles.wilson@lphs.school.nz
Taylor,Patricia,F,patricia.taylor@lphs.school.nz
Davis,David,M,david.davis@lphs.school.nz
Smith,Sarah,F,sarah.smith@lphs.school.nz
Rodriguez,Michelle,F,michelle.rodriguez@lphs.school.nz
Thomas,Karen,F,karen.thomas@lphs.school.nz
Anderson,William,M,william.anderson@lphs.school.nz
Garcia,John,M,john.garcia@lphs.school.nz
Lopez,Patricia,F,patricia.lopez@lphs.school.nz
Hernandez,Sarah,F,sarah.hernandez@lphs.school.nz
Williams,Jane,F,jane.williams@lphs.school.nz
Williams,Roberta,F,roberta.williams@lphs.school.nz
Wilson,Michael,M,michael.wilson@lphs.school.nz
Miller,Sarah,F,sarah.miller@lphs.school.nz
Taylor,Robert,M,robert.taylor@lphs.school.nz
Taylor,David,M,david.taylor@lphs.school.nz
Moore,Thomas,M,thomas.moore@lphs.school.nz
Anderson,Linda,F,linda.anderson@lphs.school.nz
